production,lhs,sum_production,sum_lhs,probability
Adj -> 'ageng',Adj,1,43,0.023255813953488372
Adj -> 'bajang',Adj,1,43,0.023255813953488372
Adj -> 'barak',Adj,2,43,0.046511627906976744
Adj -> 'belog',Adj,3,43,0.06976744186046512
Adj -> 'beneh',Adj,2,43,0.046511627906976744
Adj -> 'gede',Adj,1,43,0.023255813953488372
Adj -> 'ical',Adj,1,43,0.023255813953488372
Adj -> 'jejeh',Adj,1,43,0.023255813953488372
Adj -> 'jemet',Adj,1,43,0.023255813953488372
Adj -> 'kuning',Adj,2,43,0.046511627906976744
Adj -> 'lebeng',Adj,2,43,0.046511627906976744
Adj -> 'matur',Adj,1,43,0.023255813953488372
Adj -> 'melah',Adj,1,43,0.023255813953488372
Adj -> 'nitahang',Adj,1,43,0.023255813953488372
Adj -> 'nyat',Adj,1,43,0.023255813953488372
Adj -> 'nyayangang',Adj,1,43,0.023255813953488372
Adj -> 'panyeroane',Adj,1,43,0.023255813953488372
Adj -> 'patut',Adj,1,43,0.023255813953488372
Adj -> 'puun',Adj,2,43,0.046511627906976744
Adj -> 'repot',Adj,1,43,0.023255813953488372
Adj -> 'sakti',Adj,1,43,0.023255813953488372
Adj -> 'sayang',Adj,2,43,0.046511627906976744
Adj -> 'sebet',Adj,1,43,0.023255813953488372
Adj -> 'selem',Adj,2,43,0.046511627906976744
Adj -> 'sugih',Adj,6,43,0.13953488372093023
Adj -> 'takut',Adj,1,43,0.023255813953488372
Adj -> 'tiwas',Adj,3,43,0.06976744186046512
AdjP -> Adj,AdjP,25,27,0.9259259259259259
AdjP -> Adv AdjP,AdjP,2,27,0.07407407407407407
Adv -> 'abana',Adv,1,39,0.02564102564102564
Adv -> 'abungkul',Adv,1,39,0.02564102564102564
Adv -> 'bareng',Adv,1,39,0.02564102564102564
Adv -> 'buin',Adv,1,39,0.02564102564102564
Adv -> 'cubling',Adv,1,39,0.02564102564102564
Adv -> 'dogen',Adv,2,39,0.05128205128205128
Adv -> 'dong',Adv,1,39,0.02564102564102564
Adv -> 'duweg',Adv,1,39,0.02564102564102564
Adv -> 'ento',Adv,2,39,0.05128205128205128
Adv -> 'gati',Adv,1,39,0.02564102564102564
Adv -> 'gede',Adv,1,39,0.02564102564102564
Adv -> 'jani',Adv,1,39,0.02564102564102564
Adv -> 'kaliwat',Adv,2,39,0.05128205128205128
Adv -> 'kurenane',Adv,1,39,0.02564102564102564
Adv -> 'lantas',Adv,4,39,0.10256410256410256
Adv -> 'malu',Adv,1,39,0.02564102564102564
Adv -> 'narajana',Adv,1,39,0.02564102564102564
Adv -> 'nyen',Adv,2,39,0.05128205128205128
Adv -> 'pesan',Adv,2,39,0.05128205128205128
Adv -> 'pisan',Adv,2,39,0.05128205128205128
Adv -> 'sampun',Adv,1,39,0.02564102564102564
Adv -> 'suba',Adv,2,39,0.05128205128205128
Adv -> 'teken',Adv,4,39,0.10256410256410256
Adv -> 'tingkah',Adv,1,39,0.02564102564102564
Adv -> 'tusing',Adv,2,39,0.05128205128205128
Det -> 'abat',Det,1,979,0.0010214504596527069
Det -> 'abedik',Det,1,979,0.0010214504596527069
Det -> 'abetne',Det,2,979,0.0020429009193054137
Det -> 'adadina',Det,1,979,0.0010214504596527069
Det -> 'adane',Det,1,979,0.0010214504596527069
Det -> 'adanina',Det,5,979,0.005107252298263534
Det -> 'aget',Det,1,979,0.0010214504596527069
Det -> 'agung',Det,4,979,0.0040858018386108275
Det -> 'aiswaryadala',Det,2,979,0.0020429009193054137
Det -> 'ajak',Det,4,979,0.0040858018386108275
Det -> 'ajake',Det,2,979,0.0020429009193054137
Det -> 'akwang',Det,1,979,0.0010214504596527069
Det -> 'alas',Det,1,979,0.0010214504596527069
Det -> 'alon',Det,1,979,0.0010214504596527069
Det -> 'amun',Det,1,979,0.0010214504596527069
Det -> 'anak',Det,3,979,0.0030643513789581204
Det -> 'anake',Det,5,979,0.005107252298263534
Det -> 'angan',Det,1,979,0.0010214504596527069
Det -> 'anggon',Det,3,979,0.0030643513789581204
Det -> 'angklung',Det,1,979,0.0010214504596527069
Det -> 'angsa',Det,1,979,0.0010214504596527069
Det -> 'aris',Det,1,979,0.0010214504596527069
Det -> 'arum',Det,5,979,0.005107252298263534
Det -> 'atehine',Det,1,979,0.0010214504596527069
Det -> 'atinne',Det,2,979,0.0020429009193054137
Det -> 'aturanga',Det,1,979,0.0010214504596527069
Det -> 'aturne',Det,1,979,0.0010214504596527069
Det -> 'ayah',Det,1,979,0.0010214504596527069
Det -> 'ayu',Det,4,979,0.0040858018386108275
Det -> 'baas',Det,3,979,0.0030643513789581204
Det -> 'baburon',Det,1,979,0.0010214504596527069
Det -> 'bakal',Det,2,979,0.0020429009193054137
Det -> 'balang',Det,2,979,0.0020429009193054137
Det -> 'balihin',Det,1,979,0.0010214504596527069
Det -> 'baliina',Det,1,979,0.0010214504596527069
Det -> 'balu',Det,3,979,0.0030643513789581204
Det -> 'baluan',Det,1,979,0.0010214504596527069
Det -> 'ban',Det,6,979,0.006128702757916241
Det -> 'bandeswarya',Det,1,979,0.0010214504596527069
Det -> 'bangbange',Det,1,979,0.0010214504596527069
Det -> 'bange',Det,2,979,0.0020429009193054137
Det -> 'bangken',Det,2,979,0.0020429009193054137
Det -> 'bangun',Det,1,979,0.0010214504596527069
Det -> 'bapane',Det,3,979,0.0030643513789581204
Det -> 'bapanne',Det,1,979,0.0010214504596527069
Det -> 'bareng',Det,1,979,0.0010214504596527069
Det -> 'basang',Det,1,979,0.0010214504596527069
Det -> 'bebek',Det,1,979,0.0010214504596527069
Det -> 'beburone',Det,1,979,0.0010214504596527069
Det -> 'bedeg',Det,1,979,0.0010214504596527069
Det -> 'beh',Det,1,979,0.0010214504596527069
Det -> 'bekung',Det,1,979,0.0010214504596527069
Det -> 'beli',Det,2,979,0.0020429009193054137
Det -> 'belibise',Det,1,979,0.0010214504596527069
Det -> 'belin',Det,1,979,0.0010214504596527069
Det -> 'belog',Det,3,979,0.0030643513789581204
Det -> 'belogne',Det,1,979,0.0010214504596527069
Det -> 'ben',Det,1,979,0.0010214504596527069
Det -> 'bendega',Det,1,979,0.0010214504596527069
Det -> 'bene',Det,1,979,0.0010214504596527069
Det -> 'bengong',Det,1,979,0.0010214504596527069
Det -> 'bengu',Det,2,979,0.0020429009193054137
Det -> 'bhagawan',Det,1,979,0.0010214504596527069
Det -> 'bhatara',Det,1,979,0.0010214504596527069
Det -> 'biang',Det,1,979,0.0010214504596527069
Det -> 'biing',Det,1,979,0.0010214504596527069
Det -> 'bikul',Det,7,979,0.007150153217568948
Det -> 'bikule',Det,1,979,0.0010214504596527069
Det -> 'bisa',Det,1,979,0.0010214504596527069
Det -> 'blatuk',Det,1,979,0.0010214504596527069
Det -> 'bli',Det,2,979,0.0020429009193054137
Det -> 'bline',Det,1,979,0.0010214504596527069
Det -> 'boja',Det,1,979,0.0010214504596527069
Det -> 'bongol',Det,1,979,0.0010214504596527069
Det -> 'botol',Det,1,979,0.0010214504596527069
Det -> 'brayane',Det,1,979,0.0010214504596527069
Det -> 'buka',Det,1,979,0.0010214504596527069
Det -> 'burone',Det,2,979,0.0020429009193054137
Det -> 'buta',Det,1,979,0.0010214504596527069
Det -> 'caine',Det,1,979,0.0010214504596527069
Det -> 'carune',Det,1,979,0.0010214504596527069
Det -> 'celempung',Det,2,979,0.0020429009193054137
Det -> 'cenikan',Det,1,979,0.0010214504596527069
Det -> 'cerik',Det,2,979,0.0020429009193054137
Det -> 'cicinge',Det,1,979,0.0010214504596527069
Det -> 'cicingne',Det,1,979,0.0010214504596527069
Det -> 'cingakin',Det,1,979,0.0010214504596527069
Det -> 'cokor',Det,1,979,0.0010214504596527069
Det -> 'corah',Det,1,979,0.0010214504596527069
Det -> 'cubling',Det,2,979,0.0020429009193054137
Det -> 'cucu',Det,1,979,0.0010214504596527069
Det -> 'curike',Det,1,979,0.0010214504596527069
Det -> 'dadi',Det,1,979,0.0010214504596527069
Det -> 'dadongne',Det,2,979,0.0020429009193054137
Det -> 'dados',Det,1,979,0.0010214504596527069
Det -> 'daha',Det,2,979,0.0020429009193054137
Det -> 'dana',Det,1,979,0.0010214504596527069
Det -> 'danu',Det,1,979,0.0010214504596527069
Det -> 'danune',Det,1,979,0.0010214504596527069
Det -> 'dara',Det,1,979,0.0010214504596527069
Det -> 'dedarine',Det,1,979,0.0010214504596527069
Det -> 'deleg',Det,1,979,0.0010214504596527069
Det -> 'demen',Det,3,979,0.0030643513789581204
Det -> 'denene',Det,1,979,0.0010214504596527069
Det -> 'desa',Det,2,979,0.0020429009193054137
Det -> 'desane',Det,3,979,0.0030643513789581204
Det -> 'dewa',Det,1,979,0.0010214504596527069
Det -> 'deweke',Det,2,979,0.0020429009193054137
Det -> 'dewekne',Det,1,979,0.0010214504596527069
Det -> 'dewi',Det,1,979,0.0010214504596527069
Det -> 'dini',Det,3,979,0.0030643513789581204
Det -> 'diri',Det,1,979,0.0010214504596527069
Det -> 'doh',Det,1,979,0.0010214504596527069
Det -> 'domia',Det,2,979,0.0020429009193054137
Det -> 'dong',Det,1,979,0.0010214504596527069
Det -> 'donglen',Det,3,979,0.0030643513789581204
Det -> 'dukuh',Det,2,979,0.0020429009193054137
Det -> 'durga',Det,2,979,0.0020429009193054137
Det -> 'durina',Det,1,979,0.0010214504596527069
Det -> 'durinan',Det,1,979,0.0010214504596527069
Det -> 'durma',Det,1,979,0.0010214504596527069
Det -> 'eh',Det,1,979,0.0010214504596527069
Det -> 'ekacakrane',Det,1,979,0.0010214504596527069
Det -> 'emas',Det,2,979,0.0020429009193054137
Det -> 'embang',Det,1,979,0.0010214504596527069
Det -> 'embusina',Det,1,979,0.0010214504596527069
Det -> 'empas',Det,3,979,0.0030643513789581204
Det -> 'empase',Det,1,979,0.0010214504596527069
Det -> 'encoganga',Det,1,979,0.0010214504596527069
Det -> 'engsap',Det,1,979,0.0010214504596527069
Det -> 'entil',Det,1,979,0.0010214504596527069
Det -> 'enu',Det,1,979,0.0010214504596527069
Det -> 'gadang',Det,2,979,0.0020429009193054137
Det -> 'gagak',Det,1,979,0.0010214504596527069
Det -> 'galuh',Det,11,979,0.011235955056179775
Det -> 'gancung',Det,1,979,0.0010214504596527069
Det -> 'garuda',Det,1,979,0.0010214504596527069
Det -> 'gatine',Det,1,979,0.0010214504596527069
Det -> 'gelatik',Det,2,979,0.0020429009193054137
Det -> 'gelur',Det,1,979,0.0010214504596527069
Det -> 'gendingane',Det,1,979,0.0010214504596527069
Det -> 'geruda',Det,2,979,0.0020429009193054137
Det -> 'gerudane',Det,1,979,0.0010214504596527069
Det -> 'girang',Det,1,979,0.0010214504596527069
Det -> 'goak',Det,1,979,0.0010214504596527069
Det -> 'gudig',Det,2,979,0.0020429009193054137
Det -> 'gumine',Det,1,979,0.0010214504596527069
Det -> 'gunung',Det,1,979,0.0010214504596527069
Det -> 'hyang',Det,2,979,0.0020429009193054137
Det -> 'i',Det,175,979,0.1787538304392237
Det -> 'iba',Det,1,979,0.0010214504596527069
Det -> 'ibe',Det,1,979,0.0010214504596527069
Det -> 'icange',Det,4,979,0.0040858018386108275
Det -> 'ida',Det,5,979,0.005107252298263534
Det -> 'idane',Det,1,979,0.0010214504596527069
Det -> 'idupne',Det,1,979,0.0010214504596527069
Det -> 'ih',Det,3,979,0.0030643513789581204
Det -> 'ilang',Det,1,979,0.0010214504596527069
Det -> 'indra',Det,2,979,0.0020429009193054137
Det -> 'ipun',Det,1,979,0.0010214504596527069
Det -> 'iraga',Det,1,979,0.0010214504596527069
Det -> 'iteh',Det,1,979,0.0010214504596527069
Det -> 'ja',Det,2,979,0.0020429009193054137
Det -> 'jada',Det,1,979,0.0010214504596527069
Det -> 'jadma',Det,1,979,0.0010214504596527069
Det -> 'jaran',Det,1,979,0.0010214504596527069
Det -> 'jeet',Det,1,979,0.0010214504596527069
Det -> 'jelanan',Det,1,979,0.0010214504596527069
Det -> 'jele',Det,1,979,0.0010214504596527069
Det -> 'jelek',Det,1,979,0.0010214504596527069
Det -> 'jelinjangan',Det,1,979,0.0010214504596527069
Det -> 'jempenit',Det,2,979,0.0020429009193054137
Det -> 'jengah',Det,1,979,0.0010214504596527069
Det -> 'jerone',Det,1,979,0.0010214504596527069
Det -> 'juanga',Det,1,979,0.0010214504596527069
Det -> 'jumahan',Det,1,979,0.0010214504596527069
Det -> 'jumahne',Det,1,979,0.0010214504596527069
Det -> 'juru',Det,1,979,0.0010214504596527069
Det -> 'jwangin',Det,1,979,0.0010214504596527069
Det -> 'kaarahin',Det,1,979,0.0010214504596527069
Det -> 'kaasi',Det,1,979,0.0010214504596527069
Det -> 'kacerita',Det,1,979,0.0010214504596527069
Det -> 'kacicang',Det,1,979,0.0010214504596527069
Det -> 'kai',Det,1,979,0.0010214504596527069
Det -> 'kaki',Det,1,979,0.0010214504596527069
Det -> 'kancerung',Det,1,979,0.0010214504596527069
Det -> 'kanginan',Det,1,979,0.0010214504596527069
Det -> 'kanti',Det,1,979,0.0010214504596527069
Det -> 'kapituduh',Det,1,979,0.0010214504596527069
Det -> 'kapurukang',Det,1,979,0.0010214504596527069
